[﻿༄༅།། _100_],﻿༄༅།། _100_,﻿༄༅།། _100_,﻿༄༅།། _100_,﻿༄༅།། _100_
[།། _100_],།། _100_,།། _100_,།། _100_,།། _100_
[ཆོས་_100_],ཆོས་_100_,ཆོས་_100_,ཆོས་_100_,ཆོས་_100_
[ཉིད་_100_],ཉིད་_100_,ཉིད་_100_,ཉིད་_100_,ཉིད་_100_
[དོན་_100_],དོན་_100_,དོན་_100_,དོན་_100_,དོན་_100_
[གསལ་_100_],གསལ་_100_,གསལ་_100_,གསལ་_100_,གསལ་_100_
[འདའ་_100_],འདའ་_100_,འདའ་_100_,འདའ་_100_,འདའ་_100_
[ཀ་_100_],ཀ་_100_,ཀ་_100_,ཀ་_100_,ཀ་_100_
[ཡེ་_100_],ཡེ་_100_,ཡེ་_100_,ཡེ་_100_,ཡེ་_100_
[ཤེས་_100_],ཤེས་_100_,ཤེས་_100_,ཤེས་_100_,ཤེས་_100_
[ཀྱི_100_],ཀྱི_100_,ཀྱི_100_,ཀྱི_100_,ཀྱི_100_
[།། _100_],།། _100_,།། _100_,།། _100_,།། _100_
[དོན་_100_],དོན་_100_,དོན་_100_,དོན་_100_,དོན་_100_
[གསལ་_100_],གསལ་_100_,གསལ་_100_,གསལ་_100_,གསལ་_100_
[ཕྱིར་_100_],ཕྱིར་_100_,ཕྱིར་_100_,ཕྱིར་_100_,ཕྱིར་_100_
[ནི་_100_],ནི་_100_,ནི་_100_,ནི་_100_,ནི་_100_
[འབད་_100_],འབད་_100_,འབད་_100_,འབད་_100_,འབད་_100_
[པ་_100_],པ་_100_,པ་_100_,པ་_100_,པ་_100_
[ཆེན་_100_],ཆེན་_100_,ཆེན་_100_,ཆེན་_100_,ཆེན་_100_
[པོ་_100_],པོ་_100_,པོ་_100_,པོ་_100_,པོ་_100_
[བྱ_100_],བྱ_100_,བྱ_100_,བྱ_100_,བྱ_100_
[།། _100_],།། _100_,།། _100_,།། _100_,།། _100_
[འདི་_100_],འདི་_100_,འདི་_100_,འདི་_100_,འདི་_100_
[སྐད་_100_],སྐད་_100_,སྐད་_100_,སྐད་_100_,སྐད་_100_
[བདག་_100_],བདག་_100_,བདག་_100_,བདག་_100_,བདག་_100_
[གིས་_100_],གིས་_100_,གིས་_100_,གིས་_100_,གིས་_100_
[ཐོས་_100_],ཐོས་_100_,ཐོས་_100_,ཐོས་_100_,ཐོས་_100_
པ་_40_,[པའི་_60_],པའི་_60_,པ་_40_,པའི་_60_
[དུས་_100_],དུས་_100_,དུས་_100_,དུས་_100_,དུས་_100_
[གཅིག་_100_],གཅིག་_100_,གཅིག་_100_,གཅིག་_100_,གཅིག་_100_
[ན་_100_],ན་_100_,ན་_100_,ན་_100_,ན་_100_
[ཞེས་_100_],ཞེས་_100_,ཞེས་_100_,ཞེས་_100_,ཞེས་_100_
[བྱ་_100_],བྱ་_100_,བྱ་_100_,བྱ་_100_,བྱ་_100_
[བ་_100_],བ་_100_,བ་_100_,བ་_100_,བ་_100_
[ལ་_100_],ལ་_100_,ལ་_100_,ལ་_100_,ལ་_100_
[སོགས་_100_],སོགས་_100_,སོགས་_100_,སོགས་_100_,སོགས་_100_
[པ་_100_],པ་_100_,པ་_100_,པ་_100_,པ་_100_
[གསུངས་_100_],གསུངས་_100_,གསུངས་_100_,གསུངས་_100_,གསུངས་_100_
[ཏེ_100_],ཏེ_100_,ཏེ_100_,ཏེ_100_,ཏེ_100_
[། _100_],། _100_,། _100_,། _100_,། _100_
[དེ་_100_],དེ་_100_,དེ་_100_,དེ་_100_,དེ་_100_
[ལ་_100_],ལ་_100_,ལ་_100_,ལ་_100_,ལ་_100_
[ཉན་_100_],ཉན་_100_,ཉན་_100_,ཉན་_100_,ཉན་_100_
[ཐོས་_100_],ཐོས་_100_,ཐོས་_100_,ཐོས་_100_,ཐོས་_100_
[པ་_100_],པ་_100_,པ་_100_,པ་_100_,པ་_100_
[ཁ་_100_],ཁ་_100_,ཁ་_100_,ཁ་_100_,ཁ་_100_
[ཅིག་_100_],ཅིག་_100_,ཅིག་_100_,ཅིག་_100_,ཅིག་_100_
[གིས་_100_],གིས་_100_,གིས་_100_,གིས་_100_,གིས་_100_
[ལོག་_100_],ལོག་_100_,ལོག་_100_,ལོག་_100_,ལོག་_100_
[པར་_100_],པར་_100_,པར་_100_,པར་_100_,པར་_100_
[རྟོག་_100_],རྟོག་_100_,རྟོག་_100_,རྟོག་_100_,རྟོག་_100_
[པ་_100_],པ་_100_,པ་_100_,པ་_100_,པ་_100_
[བསལ་_100_],བསལ་_100_,བསལ་_100_,བསལ་_100_,བསལ་_100_
[བའི་_100_],བའི་_100_,བའི་_100_,བའི་_100_,བའི་_100_
[ཆེད་_100_],ཆེད་_100_,ཆེད་_100_,ཆེད་_100_,ཆེད་_100_
[དུ་_100_],དུ་_100_,དུ་_100_,དུ་_100_,དུ་_100_
[ཚིག་_100_],ཚིག་_100_,ཚིག་_100_,ཚིག་_100_,ཚིག་_100_
[གི་_100_],གི་_100_,གི་_100_,གི་_100_,གི་_100_
[ཆ་_100_],ཆ་_100_,ཆ་_100_,ཆ་_100_,ཆ་_100_
[རྣམ་_100_],རྣམ་_100_,རྣམ་_100_,རྣམ་_100_,རྣམ་_100_
[པ་_100_],པ་_100_,པ་_100_,པ་_100_,པ་_100_
[བཞི་_100_],བཞི་_100_,བཞི་_100_,བཞི་_100_,བཞི་_100_
[དང་_100_],དང་_100_,དང་_100_,དང་_100_,དང་_100_
[ལྡན་_100_],ལྡན་_100_,ལྡན་_100_,ལྡན་_100_,ལྡན་_100_
པར་_40_,[པར་རབ་_60_],པར་རབ་_60_,པར་_40_,པར་རབ་_60_
[བཤད་_100_],བཤད་_100_,བཤད་_100_,བཤད་_100_,བཤད་_100_
[པའོ_100_],པའོ_100_,པའོ_100_,པའོ_100_,པའོ_100_
[།། _100_],།། _100_,།། _100_,།། _100_,།། _100_
[བཅོམ་_100_],བཅོམ་_100_,བཅོམ་_100_,བཅོམ་_100_,བཅོམ་_100_
[ལྡན་_100_],ལྡན་_100_,ལྡན་_100_,ལྡན་_100_,ལྡན་_100_
[འདས་_100_],འདས་_100_,འདས་_100_,འདས་_100_,འདས་_100_
[འོག་_100_],འོག་_100_,འོག་_100_,འོག་_100_,འོག་_100_
[མིན་_100_],མིན་_100_,མིན་_100_,མིན་_100_,མིན་_100_
[ལྷའི་_100_],ལྷའི་_100_,ལྷའི་_100_,ལྷའི་_100_,ལྷའི་_100_
[རྒྱལ་_100_],རྒྱལ་_100_,རྒྱལ་_100_,རྒྱལ་_100_,རྒྱལ་_100_
[པོའི་_100_],པོའི་_100_,པོའི་_100_,པོའི་_100_,པོའི་_100_
[ཁང་_100_],ཁང་_100_,ཁང་_100_,ཁང་_100_,ཁང་_100_
[བཟང་_60_],བཟང་_60_,བཟང་_60_,བཟངས་_40_,བཟངས་_40_
[ན་_100_],ན་_100_,ན་_100_,ན་_100_,ན་_100_
[བཞུགས་_100_],བཞུགས་_100_,བཞུགས་_100_,བཞུགས་_100_,བཞུགས་_100_
[ཏེ་_100_],ཏེ་_100_,ཏེ་_100_,ཏེ་_100_,ཏེ་_100_
[ཞེས་_100_],ཞེས་_100_,ཞེས་_100_,ཞེས་_100_,ཞེས་_100_
[བྱ་_100_],བྱ་_100_,བྱ་_100_,བྱ་_100_,བྱ་_100_
[བ་_100_],བ་_100_,བ་_100_,བ་_100_,བ་_100_
[ལ་_100_],ལ་_100_,ལ་_100_,ལ་_100_,ལ་_100_
[སོགས་_100_],སོགས་_100_,སོགས་_100_,སོགས་_100_,སོགས་_100_
[པ་_100_],པ་_100_,པ་_100_,པ་_100_,པ་_100_
[གསུངས་_100_],གསུངས་_100_,གསུངས་_100_,གསུངས་_100_,གསུངས་_100_
[ཏེ_100_],ཏེ_100_,ཏེ_100_,ཏེ_100_,ཏེ_100_
[། _100_],། _100_,། _100_,། _100_,། _100_
[བཅོམ་_100_],བཅོམ་_100_,བཅོམ་_100_,བཅོམ་_100_,བཅོམ་_100_
[ལྡན་_100_],ལྡན་_100_,ལྡན་_100_,ལྡན་_100_,ལྡན་_100_
[འདས་_100_],འདས་_100_,འདས་_100_,འདས་_100_,འདས་_100_
[ནི་_100_],ནི་_100_,ནི་_100_,ནི་_100_,ནི་_100_
ཉོནམོངས་_40_,[ཉོན་མོངས་_60_],ཉོན་མོངས་_60_,ཉོནམོངས་_40_,ཉོན་མོངས་_60_
[པ་_100_],པ་_100_,པ་_100_,པ་_100_,པ་_100_
[དང་_100_],དང་_100_,དང་_100_,དང་_100_,དང་_100_
[ཉེ་_100_],ཉེ་_100_,ཉེ་_100_,ཉེ་_100_,ཉེ་_100_
[བའི་_100_],བའི་_100_,བའི་_100_,བའི་_100_,བའི་_100_
[ཉོན་_100_],ཉོན་_100_,ཉོན་_100_,ཉོན་_100_,ཉོན་_100_
[མོངས་_100_],མོངས་_100_,མོངས་_100_,མོངས་_100_,མོངས་_100_
[པ་_100_],པ་_100_,པ་_100_,པ་_100_,པ་_100_
[ཐམས་_100_],ཐམས་_100_,ཐམས་_100_,ཐམས་_100_,ཐམས་_100_
[ཅད་_100_],ཅད་_100_,ཅད་_100_,ཅད་_100_,ཅད་_100_
[བཅོམ་_100_],བཅོམ་_100_,བཅོམ་_100_,བཅོམ་_100_,བཅོམ་_100_
[པས་_100_],པས་_100_,པས་_100_,པས་_100_,པས་_100_
[སོ_100_],སོ_100_,སོ_100_,སོ_100_,སོ_100_
[།། _100_],།། _100_,།། _100_,།། _100_,།། _100_
[ལྡན་_100_],ལྡན་_100_,ལྡན་_100_,ལྡན་_100_,ལྡན་_100_
[པ་_100_],པ་_100_,པ་_100_,པ་_100_,པ་_100_
[ནི་_100_],ནི་_100_,ནི་_100_,ནི་_100_,ནི་_100_
[ཡོན་_100_],ཡོན་_100_,ཡོན་_100_,ཡོན་_100_,ཡོན་_100_
[ཏན་_100_],ཏན་_100_,ཏན་_100_,ཏན་_100_,ཏན་_100_
[དྲུག་_100_],དྲུག་_100_,དྲུག་_100_,དྲུག་_100_,དྲུག་_100_
[དང་_100_],དང་_100_,དང་_100_,དང་_100_,དང་_100_
[ལྡན་_100_],ལྡན་_100_,ལྡན་_100_,ལྡན་_100_,ལྡན་_100_
[པས་_100_],པས་_100_,པས་_100_,པས་_100_,པས་_100_
[སོ_100_],སོ_100_,སོ_100_,སོ_100_,སོ_100_
[།། _100_],།། _100_,།། _100_,།། _100_,།། _100_
[འདས་_100_],འདས་_100_,འདས་_100_,འདས་_100_,འདས་_100_
